id,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date
2519907207,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS2700-id-2519907207/,"Rua Heitor Vieira Júnior - Jardim Aquarius, São José dos Campos - SP",50,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Área de serviço
Churrasqueira
Interfone
Armário na cozinha",R$ 2.700 /mês,R$ 573,2021-05-14 09:02
2504593661,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-das-colinas-bairros-sao-jose-dos-campos-com-garagem-190m2-aluguel-RS5400-id-2504593661/,"Avenida São João, 2401 - Jardim das Colinas, São José dos Campos - SP",190,4 Quartos,4 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda",R$ 5.400 /mês,R$ 980,2021-05-14 09:02
2516390956,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-351m2-aluguel-RS20000-id-2516390956/,"Jardim Aquarius, São José dos Campos - SP",351,4 Quartos,5 Banheiros,4 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Ar-condicionado",R$ 20.000 /mês,R$ 2.650,2021-05-14 09:02
2518158596,https://www.vivareal.com.br/imovel/apartamento-2-quartos-monte-castelo-bairros-sao-jose-dos-campos-com-garagem-93m2-aluguel-RS900-id-2518158596/,"Rua Waldir Gaioso - Monte Castelo, São José dos Campos - SP",93,2 Quartos,1 Banheiro,1 Vaga,,R$ 900 /mês,R$ 363,2021-05-14 09:02
2485963812,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-133m2-venda-RS595000-id-2485963812/,"Jardim Aquarius, São José dos Campos - SP",133,4 Quartos,3 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Varanda","R$ 2.800 /mês
R$ 595.000",R$ 670,2021-05-14 09:02
2516883816,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS1400-id-2516883816/,"Rua Afonso César de Siqueira - Vila Adyana, São José dos Campos - SP",70,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.400 /mês,R$ 600,2021-05-14 09:02
2500974576,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS1300-id-2500974576/,"Rua Coronel João Cursino, 130 - Vila Adyana, São José dos Campos - SP",45,1 Quarto,2 Banheiros,1 Vaga,"Mobiliado
Elevador
Piscina
Área de serviço
Churrasqueira",R$ 1.300 /mês,R$ 500,2021-05-14 09:02
2516834345,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-oswaldo-cruz-bairros-sao-jose-dos-campos-com-garagem-85m2-aluguel-RS1300-id-2516834345/,"Rua República do Líbano - Jardim Oswaldo Cruz, São José dos Campos - SP",85,3 Quartos,2 Banheiros,2 Vagas,,R$ 1.300 /mês,R$ 450,2021-05-14 09:02
2519105839,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-84m2-aluguel-RS1900-id-2519105839/,"Rua Pedro Tatimoto, 193 - Jardim América, São José dos Campos - SP",84,3 Quartos,2 Banheiros,1 Vaga,,R$ 1.900 /mês,,2021-05-14 09:02
2518152106,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-apolo-sudeste-sao-jose-dos-campos-com-garagem-90m2-aluguel-RS2500-id-2518152106/,"Rua Bárbara Knippelberg Loureiro - Jardim Apolo, São José dos Campos - SP",90,3 Quartos,2 Banheiros,2 Vagas,"Mobiliado
Armário na cozinha",R$ 2.500 /mês,R$ 550,2021-05-14 09:02
2517759509,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-venda-RS530000-id-2517759509/,"Jardim Aquarius, São José dos Campos - SP",75,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Piscina
Área de serviço
Churrasqueira
Sauna","R$ 2.200 /mês
R$ 530.000",R$ 530,2021-05-14 09:02
