id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2483585318,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-nova-esperanca-bairros-sao-jose-dos-campos-com-garagem-44m2-aluguel-RS700-id-2483585318/,"Apartamento com 2 Quartos para Aluguel, 44m²","Parque Nova Esperança, São José dos Campos - SP",44,2 Quartos,1 Banheiro,1 Vaga,,R$ 700 /mês,R$ 213,2021-05-14 08:40
2518009793,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS1000-id-2518009793/,"Apartamento com 2 Quartos para Aluguel, 48m²","Jardim América, São José dos Campos - SP",48,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.000 /mês,R$ 380,2021-05-14 08:40
2519529187,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-morumbi-bairros-sao-jose-dos-campos-com-garagem-73m2-aluguel-RS1100-id-2519529187/,"Apartamento com 3 Quartos para Aluguel, 73m²","Cidade Morumbi, São José dos Campos - SP",73,3 Quartos,1 Banheiro,1 Vaga,,R$ 1.100 /mês,R$ 400,2021-05-14 08:40
2518007766,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-ii-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS670-id-2518007766/,"Apartamento com 2 Quartos para Aluguel, 70m²","Jardim Santa Inês II, São José dos Campos - SP",70,2 Quartos,1 Banheiro,1 Vaga,,R$ 670 /mês,R$ 240,2021-05-14 08:40
2518238716,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS3800-id-2518238716/,"Apartamento com 2 Quartos para Aluguel, 70m²","Parque Residencial Aquarius, São José dos Campos - SP",70,2 Quartos,2 Banheiros,1 Vaga,,R$ 3.800 /mês,R$ 373,2021-05-14 08:40
2518008660,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-nova-michigan-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS800-id-2518008660/,"Apartamento com 2 Quartos para Aluguel, 48m²","Jardim Nova Michigan, São José dos Campos - SP",48,2 Quartos,1 Banheiro,1 Vaga,,R$ 800 /mês,R$ 250,2021-05-14 08:40
2517759391,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS4900-id-2517759391/,"Apartamento com 3 Quartos para Aluguel, 70m²","Vila Ema, São José dos Campos - SP",70,3 Quartos,5 Banheiros,4 Vagas,,R$ 4.900 /mês,R$ 1.200,2021-05-14 08:40
2518008639,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS2300-id-2518008639/,"Apartamento com 2 Quartos para Aluguel, 70m²","Parque Residencial Aquarius, São José dos Campos - SP",70,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.300 /mês,R$ 380,2021-05-14 08:40
2518009802,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-77m2-aluguel-RS2350-id-2518009802/,"Apartamento com 2 Quartos para Aluguel, 77m²","Parque Residencial Aquarius, São José dos Campos - SP",77,2 Quartos,2 Banheiros,1 Vaga,,R$ 2.350 /mês,R$ 372,2021-05-14 08:40
2518009022,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-sao-jose-dos-campos-70m2-aluguel-RS1800-id-2518009022/,"Apartamento com 2 Quartos para Aluguel, 70m²","Centro, São José dos Campos - SP",70,2 Quartos,2 Banheiros,-- Vaga,,R$ 1.800 /mês,R$ 580,2021-05-14 08:40
