,link,address,area,bedrooms,bathrooms,garages,others,price,condo,date,neighborhood,zona
367,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-49m2-aluguel-RS700-id-2520364636/,"Avenida George Eastman, 651 - Parque Industrial, São José dos Campos - SP",49,2,1,1.0,"Salão de festas, Playground, Quadra poliesportiva, Segurança 24h",700,263.0,2021-06-20 09:33:00,Parque Industrial,Sul
380,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-98m2-aluguel-RS1350-id-2524014153/,"Avenida Cidade Jardim - Bosque dos Eucaliptos, São José dos Campos - SP",98,3,3,2.0,"Elevador, Piscina, Churrasqueira, Salão de festas, Playground",1350,0.0,2021-06-20 09:33:00,Bosque dos Eucaliptos,Sul
390,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-68m2-aluguel-RS1100-id-2521986939/,"Rua José Cobra, 302 - Parque Industrial, São José dos Campos - SP",68,3,2,1.0,0,1100,492.0,2021-06-20 09:33:00,Parque Industrial,Sul
414,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-90m2-aluguel-RS1200-id-2520531827/,"Rua Pouso Alegre - Bosque dos Eucaliptos, São José dos Campos - SP",90,3,2,1.0,Elevador,1200,504.0,2021-06-20 09:33:00,Bosque dos Eucaliptos,Sul
439,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1200-id-2523071087/,"Rua Bacabal - Parque Industrial, São José dos Campos - SP",55,2,1,1.0,"Condomínio fechado, Salão de jogos",1200,420.0,2021-06-20 09:33:00,Parque Industrial,Sul
471,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-48m2-aluguel-RS1000-id-2516759738/,"Avenida Guadalupe - Jardim América, São José dos Campos - SP",48,2,1,1.0,0,1000,388.0,2021-06-20 09:33:00,Jardim América,Sul
476,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-satelite-bairros-sao-jose-dos-campos-50m2-aluguel-RS530-id-2518685883/,"Avenida Andrômeda - Jardim Satélite, São José dos Campos - SP",50,2,1,0.0,Portão eletrônico,530,360.0,2021-06-20 09:34:00,Jardim Satélite,Sul
477,https://www.vivareal.com.br/imovel/apartamento-2-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS1600-id-2516334173/,"Rua Matias Peres - Floradas de São José, São José dos Campos - SP",50,2,1,1.0,0,1600,290.0,2021-06-20 09:34:00,Floradas de São José,Sul
481,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-54m2-aluguel-RS1150-id-2521487529/,"Rua Haiti - Jardim América, São José dos Campos - SP",54,2,1,1.0,"Elevador, Piscina, Área de serviço, Quadra poliesportiva, Condomínio fechado",1150,340.0,2021-06-20 09:34:00,Jardim América,Sul
482,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-vale-do-sol-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1150-id-2523770982/,"Rua Abaré - Jardim Vale do Sol, São José dos Campos - SP",55,2,2,1.0,"Elevador, Área de serviço, Churrasqueira, Salão de festas, Playground",1150,300.0,2021-06-20 09:34:00,Jardim Vale do Sol,Sul
483,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-sul-bairros-sao-jose-dos-campos-com-garagem-89m2-aluguel-RS2500-id-2512217602/,"Jardim Sul, São José dos Campos - SP",89,3,1,2.0,"Piscina, Churrasqueira, Salão de festas, Playground, Varanda",2500,351.0,2021-06-20 09:34:00,Jardim Sul,Sul
500,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-vale-do-sol-bairros-sao-jose-dos-campos-com-garagem-52m2-aluguel-RS850-id-2514187373/,"Rua Gandu, 81 - Jardim Vale do Sol, São José dos Campos - SP",52,2,1,1.0,0,850,270.0,2021-06-20 09:34:00,Jardim Vale do Sol,Sul
519,https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-satelite-bairros-sao-jose-dos-campos-com-garagem-36m2-aluguel-RS900-id-2511278984/,"Rua Pedro Tursi - Jardim Satélite, São José dos Campos - SP",36,1,1,1.0,0,900,213.0,2021-06-20 09:34:00,Jardim Satélite,Sul
520,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-82m2-aluguel-RS1950-id-2523856712/,"Parque Industrial, São José dos Campos - SP",82,2,2,2.0,"Mobiliado, Piscina, Área de serviço, Churrasqueira, Armário na cozinha",1950,405.0,2021-06-20 09:34:00,Parque Industrial,Sul
524,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-50m2-aluguel-RS760-id-2523037977/,"Parque Industrial, São José dos Campos - SP",50,2,1,1.0,"Churrasqueira, Quadra poliesportiva, Garagem",760,263.0,2021-06-20 09:34:00,Parque Industrial,Sul
549,https://www.vivareal.com.br/imovel/apartamento-2-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-47m2-aluguel-RS800-id-2523548549/,"Floradas de São José, São José dos Campos - SP",47,2,1,1.0,Condomínio fechado,800,280.0,2021-06-20 09:34:00,Floradas de São José,Sul
550,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-industrial-bairros-sao-jose-dos-campos-com-garagem-100m2-aluguel-RS1600-id-2522775435/,"Rua José Cobra, 700 - Parque Industrial, São José dos Campos - SP",100,3,1,2.0,"Elevador, Piscina, Churrasqueira, Jardim, Quadra poliesportiva",1600,600.0,2021-06-20 09:34:00,Parque Industrial,Sul
566,https://www.vivareal.com.br/imovel/apartamento-3-quartos-bosque-dos-eucaliptos-bairros-sao-jose-dos-campos-com-garagem-96m2-venda-RS510000-id-2520963575/,"Bosque dos Eucaliptos, São José dos Campos - SP",96,3,1,2.0,"Piscina, Churrasqueira, Quadra poliesportiva, Cozinha, Salão de jogos",3000,614.0,2021-06-20 09:34:00,Bosque dos Eucaliptos,Sul
568,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-84m2-venda-RS350000-id-2516165933/,"Rua Pedro Tatimoto - Jardim América, São José dos Campos - SP",84,3,2,1.0,"Área de serviço, Churrasqueira, Varanda, TV a cabo, Cozinha",1512,406.0,2021-06-20 09:34:00,Jardim América,Sul
573,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-america-bairros-sao-jose-dos-campos-com-garagem-85m2-aluguel-RS1655-id-2523335721/,"Jardim América, São José dos Campos - SP",85,3,2,2.0,"Elevador, Churrasqueira, Varanda gourmet, Cozinha",1655,350.0,2021-06-20 09:34:00,Jardim América,Sul
585,https://www.vivareal.com.br/imovel/apartamento-2-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-67m2-aluguel-RS1350-id-2523995056/,"Floradas de São José, São José dos Campos - SP",67,2,2,1.0,"Elevador, Área de serviço, Cozinha, Interfone, Segurança 24h",1350,400.0,2021-06-20 09:34:00,Floradas de São José,Sul
587,https://www.vivareal.com.br/imovel/apartamento-3-quartos-sao-jose-dos-campos-com-garagem-20m2-venda-RS350000-id-2519179761/,"Jardim América, São José dos Campos - SP",20,3,2,1.0,"Elevador, Churrasqueira",1900,0.0,2021-06-20 09:34:00,Jardim América,Sul
